user,movie,rating
148,1088,NaN
148,1580,NaN
148,2122,NaN
148,2142,NaN
148,2366,NaN
148,3175,NaN
148,858,NaN
148,1127,NaN
148,1721,NaN
148,3698,NaN
148,1270,NaN
148,2393,NaN
148,3704,NaN
148,808,NaN
148,2748,NaN
148,2096,NaN
148,2392,NaN
148,3028,NaN
148,1888,NaN
148,2874,NaN
148,3062,NaN
148,1016,NaN
148,2396,NaN
148,3703,NaN
148,673,NaN
148,593,NaN
148,597,NaN
148,1653,NaN
148,2797,NaN
148,3441,NaN
148,950,NaN
148,3431,NaN
148,3436,NaN
148,34,NaN
148,368,NaN
148,1198,NaN
148,1924,NaN
148,1183,NaN
148,830,NaN
148,1226,NaN
148,1259,NaN
148,2662,NaN
148,1201,NaN
148,2683,NaN
148,3841,NaN
148,497,NaN
148,2355,NaN
148,300,NaN
148,784,NaN
148,587,NaN
148,1276,NaN
148,1307,NaN
148,2094,NaN
148,2240,NaN
148,2752,NaN
148,3403,NaN
148,3624,NaN
148,688,NaN
148,914,NaN
148,1372,NaN
148,2467,NaN
148,332,NaN
148,577,NaN
148,1235,NaN
148,2023,NaN
148,2335,NaN
148,3270,NaN
148,1019,NaN
148,1927,NaN
148,44,NaN
148,908,NaN
148,1135,NaN
148,2134,NaN
148,2322,NaN
148,3528,NaN
148,253,NaN
148,1210,NaN
148,1363,NaN
148,1689,NaN
148,2371,NaN
148,2804,NaN
148,329,NaN
148,460,NaN
148,2496,NaN
148,2497,NaN
148,350,NaN
148,2409,NaN
148,2531,NaN
148,2939,NaN
148,3196,NaN
148,3548,NaN
148,2006,NaN
148,2701,NaN
148,548,NaN
148,3502,NaN
148,3519,NaN
148,707,NaN
148,2288,NaN
148,3654,NaN
148,1731,NaN
148,1961,NaN
148,2407,NaN
148,1291,NaN
148,2013,NaN
148,2828,NaN
148,2042,NaN
148,2414,NaN
148,2724,NaN
148,539,NaN
148,861,NaN
148,1588,NaN
148,2791,NaN
148,519,NaN
148,1197,NaN
148,2404,NaN
148,2628,NaN
148,3504,NaN
148,1944,NaN
148,2549,NaN
148,671,NaN
148,185,NaN
148,1586,NaN
148,1694,NaN
148,2616,NaN
148,3155,NaN
148,3029,NaN
148,748,NaN
148,1590,NaN
148,3753,NaN
148,1247,NaN
148,1304,NaN
148,512,NaN
148,2054,NaN
148,2941,NaN
148,1,NaN
148,1008,NaN
148,1391,NaN
148,3452,NaN
148,1302,NaN
148,1485,NaN
148,2763,NaN
148,3147,NaN
148,3593,NaN
148,1047,NaN
148,2967,NaN
148,1616,NaN
148,1722,NaN
148,2170,NaN
148,2344,NaN
148,2989,NaN
148,3111,NaN
148,3754,NaN
148,442,NaN
148,1608,NaN
148,2059,NaN
148,3197,NaN
148,440,NaN
148,1682,NaN
148,2471,NaN
148,474,NaN
148,1100,NaN
148,2433,NaN
148,168,NaN
148,2470,NaN
148,1275,NaN
148,1997,NaN
148,3708,NaN
148,169,NaN
148,500,NaN
148,2193,NaN
148,3764,NaN
148,3793,NaN
148,2808,NaN
148,3439,NaN
148,3791,NaN
148,377,NaN
148,432,NaN
148,1301,NaN
148,3699,NaN
148,647,NaN
148,2405,NaN
148,3871,NaN
148,292,NaN
148,339,NaN
148,944,NaN
148,1517,NaN
148,3269,NaN
148,1499,NaN
148,1917,NaN
148,3730,NaN
148,491,NaN
148,2613,NaN
148,2640,NaN
148,3534,NaN
148,1551,NaN
148,1032,NaN
148,1711,NaN
148,2985,NaN
148,258,NaN
148,1806,NaN
148,2072,NaN
148,2268,NaN
148,2105,NaN
148,3257,NaN
148,2571,NaN
148,3039,NaN
148,419,NaN
148,836,NaN
148,2664,NaN
148,3584,NaN
148,3930,NaN
148,780,NaN
148,257,NaN
148,1250,NaN
148,1569,NaN
148,2153,NaN
148,227,NaN
148,1220,NaN
148,1222,NaN
148,1225,NaN
148,1299,NaN
148,2987,NaN
148,1375,NaN
148,1321,NaN
148,2041,NaN
148,2150,NaN
148,3440,NaN
148,3675,NaN
148,455,NaN
148,1688,NaN
148,2410,NaN
148,3256,NaN
148,15,NaN
148,1136,NaN
148,1253,NaN
148,3434,NaN
148,262,NaN
148,2565,NaN
148,3527,NaN
148,1750,NaN
148,1947,NaN
148,2524,NaN
148,327,NaN
148,849,NaN
148,1894,NaN
148,2278,NaN
148,2494,NaN
148,3404,NaN
148,3766,NaN
148,165,NaN
148,1240,NaN
148,1703,NaN
148,2019,NaN
148,1286,NaN
148,1831,NaN
148,590,NaN
148,1527,NaN
148,1950,NaN
148,2942,NaN
148,383,NaN
148,1747,NaN
148,3412,NaN
148,316,NaN
148,502,NaN
148,1231,NaN
148,2067,NaN
148,531,NaN
148,903,NaN
148,318,NaN
148,1124,NaN
148,1271,NaN
148,107,NaN
148,374,NaN
148,2826,NaN
148,2968,NaN
148,17,NaN
148,231,NaN
148,552,NaN
148,1597,NaN
148,2403,NaN
148,2805,NaN
148,1293,NaN
148,2048,NaN
148,2087,NaN
148,2688,NaN
148,3114,NaN
148,2720,NaN
148,423,NaN
148,3408,NaN
148,2490,NaN
148,3433,NaN
148,594,NaN
148,880,NaN
148,2080,NaN
148,2915,NaN
148,2716,NaN
148,3740,NaN
148,485,NaN
148,870,NaN
148,900,NaN
148,1377,NaN
148,2273,NaN
148,2906,NaN
148,1438,NaN
148,1957,NaN
148,2135,NaN
148,2469,NaN
148,733,NaN
148,1735,NaN
148,1833,NaN
148,2174,NaN
148,1037,NaN
148,1727,NaN
148,2081,NaN
148,173,NaN
148,494,NaN
148,1036,NaN
148,2111,NaN
148,2402,NaN
148,2872,NaN
148,2929,NaN
148,2991,NaN
148,3660,NaN
148,1779,NaN
148,2046,NaN
148,100,NaN
148,2424,NaN
148,3889,NaN
148,161,NaN
148,1385,NaN
148,3479,NaN
148,23,NaN
148,380,NaN
148,520,NaN
148,736,NaN
148,1287,NaN
148,2665,NaN
148,7,NaN
148,648,NaN
148,2717,NaN
148,3389,NaN
148,1810,NaN
148,2053,NaN
148,2097,NaN
148,2147,NaN
148,2399,NaN
148,1233,NaN
148,1374,NaN
148,3405,NaN
148,434,NaN
148,585,NaN
148,1620,NaN
148,3397,NaN
148,3516,NaN
148,277,NaN
148,1381,NaN
148,3821,NaN
148,2863,NaN
148,1200,NaN
148,1234,NaN
148,1020,NaN
148,1876,NaN
148,2194,NaN
148,2394,NaN
148,3430,NaN
148,533,NaN
148,1690,NaN
148,2827,NaN
148,239,NaN
148,1356,NaN
148,1960,NaN
148,2498,NaN
148,3101,NaN
148,459,NaN
148,3386,NaN
148,3633,NaN
148,10,NaN
148,361,NaN
148,589,NaN
148,2641,NaN
148,50,NaN
148,2431,NaN
148,3061,NaN
148,293,NaN
148,527,NaN
148,2012,NaN
148,2671,NaN
148,1704,NaN
148,952,NaN
148,1320,NaN
148,2986,NaN
148,3646,NaN
148,261,NaN
148,1918,NaN
148,2722,NaN
148,3462,NaN
148,181,NaN
148,364,NaN
148,3070,NaN
148,1049,NaN
148,3044,NaN
148,3354,NaN
148,356,NaN
148,2316,NaN
148,1556,NaN
148,2033,NaN
148,2321,NaN
148,2648,NaN
148,3438,NaN
148,3510,NaN
148,160,NaN
148,3153,NaN
148,408,NaN
148,1479,NaN
148,3035,NaN
148,3259,NaN
148,3755,NaN
148,2529,NaN
148,3678,NaN
148,3751,NaN
148,351,NaN
148,480,NaN
148,3591,NaN
148,1610,NaN
148,95,NaN
148,1687,NaN
148,1784,NaN
148,2123,NaN
148,2669,NaN
148,3868,NaN
148,2139,NaN
148,2453,NaN
148,2948,NaN
148,558,NaN
148,1221,NaN
148,2125,NaN
148,2291,NaN
148,2749,NaN
148,653,NaN
148,1393,NaN
148,1801,NaN
148,1283,NaN
148,1552,NaN
148,1911,NaN
148,2250,NaN
148,338,NaN
148,798,NaN
148,2300,NaN
148,3385,NaN
148,911,NaN
148,933,NaN
148,1042,NaN
148,2100,NaN
148,2615,NaN
148,3507,NaN
148,1792,NaN
148,2533,NaN
148,3004,NaN
148,3255,NaN
148,3767,NaN
148,3877,NaN
148,1203,NaN
148,32,NaN
148,60,NaN
148,2152,NaN
148,3081,NaN
148,786,NaN
148,3268,NaN
148,457,NaN
148,2421,NaN
148,2530,NaN
148,3082,NaN
148,3396,NaN
148,151,NaN
148,608,NaN
148,899,NaN
148,592,NaN
148,801,NaN
148,943,NaN
148,1909,NaN
148,2670,NaN
148,376,NaN
